postcode,state,locality,tr
0872,NT,NYIRRIPI,MacDonnell
0872,NT,PAPUNYA,MacDonnell
0872,NT,PETERMANN,Lasseter
0872,NT,SANDOVER,MacDonnell
0872,NT,SANTA TERESA,MacDonnell
0872,NT,TANAMI,MacDonnell
0872,NT,TARA,Barkly
0872,NT,TITJIKALA,MacDonnell
0872,NT,TI TREE,MacDonnell
0872,NT,WALLACE ROCKHOLE,MacDonnell
0872,NT,WILLOWRA,MacDonnell
0872,NT,WILORA,MacDonnell
0872,NT,WUTUNUGURRA,Barkly
0872,NT,YUELAMU,MacDonnell
0872,NT,YULARA,Lasseter
0873,NT,AMOONGUNA,MacDonnell
0873,NT,ARUMBERA,Alice Springs
0873,NT,CONNELLAN,Alice Springs
0873,NT,ILPARPA,Alice Springs
0873,NT,KILGARIFF,Alice Springs
0873,NT,ROSS,Alice Springs
0874,NT,IRLPME,Alice Springs
0874,NT,MOUNT JOHNS,Alice Springs
0874,NT,UNDOOLYA,Alice Springs
0875,NT,FLYNN,Alice Springs
0875,NT,LARAPINTA,Alice Springs
0880,NT,GAPUWIYAK,Litchfield Kakadu Arnhem
0880,NT,NHULUNBUY,Litchfield Kakadu Arnhem
0880,NT,YIRRKALA,Litchfield Kakadu Arnhem
4825,NT,ALPURRURULAM,Barkly
4825,NT,RANKEN,Barkly
0872,SA,AMATA,Flinders Ranges and Outback
0872,SA,AYERS RANGE SOUTH,Flinders Ranges and Outback
0872,SA,DE ROSE HILL,Flinders Ranges and Outback
0872,SA,IWANTJA,Flinders Ranges and Outback
0872,SA,KALKA,Flinders Ranges and Outback
0872,SA,KALTJITI,Flinders Ranges and Outback
0872,SA,KANPI,Flinders Ranges and Outback
0872,SA,LAMBINA,Flinders Ranges and Outback
0872,SA,MIMILI,Flinders Ranges and Outback
0872,SA,NYAPARI,Flinders Ranges and Outback
0872,SA,PIPALYATJARA,Flinders Ranges and Outback
0872,SA,PUKATJA,Flinders Ranges and Outback
0872,SA,TIEYON,Flinders Ranges and Outback
0872,SA,UMUWA,Flinders Ranges and Outback
0872,SA,WATARRU,Flinders Ranges and Outback
0872,SA,WATINUMA,Flinders Ranges and Outback
0872,SA,YUNYARINYI,Flinders Ranges and Outback
5000,SA,ADELAIDE,Adelaide
5006,SA,NORTH ADELAIDE,Adelaide
5007,SA,BOWDEN,Adelaide
5007,SA,BROMPTON,Adelaide
5007,SA,HINDMARSH,Adelaide
5007,SA,WELLAND,Adelaide
5007,SA,WEST HINDMARSH,Adelaide
5008,SA,CROYDON,Adelaide
5008,SA,CROYDON PARK,Adelaide
5008,SA,DEVON PARK,Adelaide
5008,SA,DUDLEY PARK,Adelaide
5008,SA,RENOWN PARK,Adelaide
5008,SA,RIDLEYTON,Adelaide
5008,SA,WEST CROYDON,Adelaide
5009,SA,ALLENBY GARDENS,Adelaide
5009,SA,BEVERLEY,Adelaide
5009,SA,KILKENNY,Adelaide
5010,SA,ANGLE PARK,Adelaide
5010,SA,FERRYDEN PARK,Adelaide
5010,SA,REGENCY PARK,Adelaide
5011,SA,ST CLAIR,Adelaide
5011,SA,WOODVILLE,Adelaide
5011,SA,WOODVILLE PARK,Adelaide
5011,SA,WOODVILLE SOUTH,Adelaide
5011,SA,WOODVILLE WEST,Adelaide
5012,SA,ATHOL PARK,Adelaide
5012,SA,MANSFIELD PARK,Adelaide
5012,SA,WOODVILLE GARDENS,Adelaide
5012,SA,WOODVILLE NORTH,Adelaide
5013,SA,GILLMAN,Adelaide
5013,SA,OTTOWAY,Adelaide
5013,SA,PENNINGTON,Adelaide
5013,SA,ROSEWATER,Adelaide
5013,SA,WINGFIELD,Adelaide
5014,SA,ALBERTON,Adelaide
5014,SA,ALBERT PARK,Adelaide
5014,SA,CHELTENHAM,Adelaide
5014,SA,HENDON,Adelaide
5014,SA,QUEENSTOWN,Adelaide
5014,SA,ROYAL PARK,Adelaide
5015,SA,BIRKENHEAD,Adelaide
5015,SA,ETHELTON,Adelaide
5015,SA,GLANVILLE,Adelaide
5015,SA,NEW PORT,Adelaide
5015,SA,PORT ADELAIDE,Adelaide
5016,SA,LARGS BAY,Adelaide
5016,SA,LARGS NORTH,Adelaide
5016,SA,PETERHEAD,Adelaide
5017,SA,OSBORNE,Adelaide
5017,SA,TAPEROO,Adelaide
5018,SA,NORTH HAVEN,Adelaide
5018,SA,OUTER HARBOR,Adelaide
5019,SA,EXETER,Adelaide
5019,SA,SEMAPHORE,Adelaide
5019,SA,SEMAPHORE PARK,Adelaide
5019,SA,SEMAPHORE SOUTH,Adelaide
5020,SA,WEST LAKES SHORE,Adelaide
5021,SA,WEST LAKES,Adelaide
5022,SA,GRANGE,Adelaide
5022,SA,HENLEY BEACH,Adelaide
5022,SA,HENLEY BEACH SOUTH,Adelaide
5022,SA,TENNYSON,Adelaide
5023,SA,FINDON,Adelaide
5023,SA,SEATON,Adelaide
5024,SA,FULHAM,Adelaide
5024,SA,FULHAM GARDENS,Adelaide
5024,SA,WEST BEACH,Adelaide
5025,SA,FLINDERS PARK,Adelaide
5025,SA,KIDMAN PARK,Adelaide
5031,SA,MILE END,Adelaide
5031,SA,MILE END SOUTH,Adelaide
5031,SA,THEBARTON,Adelaide
5031,SA,TORRENSVILLE,Adelaide
5032,SA,BROOKLYN PARK,Adelaide
5032,SA,LOCKLEYS,Adelaide
5032,SA,UNDERDALE,Adelaide
5033,SA,COWANDILLA,Adelaide
5033,SA,HILTON,Adelaide
5033,SA,MARLESTON,Adelaide
5033,SA,RICHMOND,Adelaide
5033,SA,WEST RICHMOND,Adelaide
5034,SA,CLARENCE PARK,Adelaide
5034,SA,GOODWOOD,Adelaide
5034,SA,KINGS PARK,Adelaide
5034,SA,MILLSWOOD,Adelaide
5034,SA,WAYVILLE,Adelaide
5035,SA,ASHFORD,Adelaide
5035,SA,BLACK FOREST,Adelaide
5035,SA,EVERARD PARK,Adelaide
5035,SA,FORESTVILLE,Adelaide
5035,SA,KESWICK,Adelaide
5035,SA,KESWICK TERMINAL,Adelaide
5037,SA,GLANDORE,Adelaide
5037,SA,KURRALTA PARK,Adelaide
5037,SA,NETLEY,Adelaide
5037,SA,NORTH PLYMPTON,Adelaide
5038,SA,CAMDEN PARK,Adelaide
5038,SA,PLYMPTON,Adelaide
5038,SA,PLYMPTON PARK,Adelaide
5038,SA,SOUTH PLYMPTON,Adelaide
5039,SA,CLARENCE GARDENS,Adelaide
5039,SA,EDWARDSTOWN,Adelaide
5039,SA,MELROSE PARK,Adelaide
5040,SA,NOVAR GARDENS,Adelaide
5041,SA,COLONEL LIGHT GARDENS,Adelaide
5041,SA,CUMBERLAND PARK,Adelaide
5041,SA,DAW PARK,Adelaide
5041,SA,PANORAMA,Adelaide
5041,SA,WESTBOURNE PARK,Adelaide
5042,SA,BEDFORD PARK,Adelaide
5042,SA,CLOVELLY PARK,Adelaide
5042,SA,PASADENA,Adelaide
5042,SA,ST MARYS,Adelaide
5042,SA,TONSLEY,Adelaide
5043,SA,ASCOT PARK,Adelaide
5043,SA,MARION,Adelaide
5043,SA,MITCHELL PARK,Adelaide
5043,SA,MORPHETTVILLE,Adelaide
5043,SA,PARK HOLME,Adelaide
5044,SA,GLENGOWRIE,Adelaide
5044,SA,SOMERTON PARK,Adelaide
5045,SA,GLENELG,Adelaide
5045,SA,GLENELG EAST,Adelaide
5045,SA,GLENELG NORTH,Adelaide
5045,SA,GLENELG SOUTH,Adelaide
5046,SA,OAKLANDS PARK,Adelaide
5046,SA,WARRADALE,Adelaide
5047,SA,DARLINGTON,Adelaide
5047,SA,SEACOMBE GARDENS,Adelaide
5047,SA,SEACOMBE HEIGHTS,Adelaide
5047,SA,STURT,Adelaide
5048,SA,BRIGHTON,Adelaide
5048,SA,DOVER GARDENS,Adelaide
5048,SA,HOVE,Adelaide
5048,SA,NORTH BRIGHTON,Adelaide
5048,SA,SOUTH BRIGHTON,Adelaide
5049,SA,KINGSTON PARK,Adelaide
5049,SA,MARINO,Adelaide
5049,SA,SEACLIFF,Adelaide
5049,SA,SEACLIFF PARK,Adelaide
5049,SA,SEAVIEW DOWNS,Adelaide
5050,SA,BELLEVUE HEIGHTS,Adelaide
5050,SA,EDEN HILLS,Adelaide
5051,SA,BLACKWOOD,Adelaide
5051,SA,COROMANDEL VALLEY,Adelaide
5051,SA,CRAIGBURN FARM,Adelaide
5051,SA,HAWTHORNDENE,Adelaide
5052,SA,BELAIR,Adelaide
5052,SA,GLENALTA,Adelaide
5061,SA,HYDE PARK,Adelaide
5061,SA,MALVERN,Adelaide
5061,SA,UNLEY,Adelaide
5061,SA,UNLEY PARK,Adelaide
5062,SA,BROWN HILL CREEK,Adelaide
5062,SA,CLAPHAM,Adelaide
5062,SA,HAWTHORN,Adelaide
5062,SA,KINGSWOOD,Adelaide
5062,SA,LOWER MITCHAM,Adelaide
5062,SA,LYNTON,Adelaide
5062,SA,MITCHAM,Adelaide
5062,SA,NETHERBY,Adelaide
5062,SA,SPRINGFIELD,Adelaide
5062,SA,TORRENS PARK,Adelaide
5063,SA,EASTWOOD,Adelaide
5063,SA,FREWVILLE,Adelaide
5063,SA,FULLARTON,Adelaide
5063,SA,HIGHGATE,Adelaide
5063,SA,PARKSIDE,Adelaide
5064,SA,GLEN OSMOND,Adelaide
5064,SA,GLENUNGA,Adelaide
5064,SA,MOUNT OSMOND,Adelaide
5064,SA,MYRTLE BANK,Adelaide
5064,SA,ST GEORGES,Adelaide
5064,SA,URRBRAE,Adelaide
5065,SA,DULWICH,Adelaide
5065,SA,GLENSIDE,Adelaide
5065,SA,LINDEN PARK,Adelaide
5065,SA,TOORAK GARDENS,Adelaide
5065,SA,TUSMORE,Adelaide
5066,SA,BEAUMONT,Adelaide
5066,SA,BURNSIDE,Adelaide
5066,SA,ERINDALE,Adelaide
5066,SA,HAZELWOOD PARK,Adelaide
5066,SA,STONYFELL,Adelaide
5066,SA,WATERFALL GULLY,Adelaide
5066,SA,WATTLE PARK,Adelaide
5067,SA,BEULAH PARK,Adelaide
5067,SA,KENT TOWN,Adelaide
5067,SA,NORWOOD,Adelaide
5067,SA,ROSE PARK,Adelaide
5068,SA,HEATHPOOL,Adelaide
5068,SA,KENSINGTON,Adelaide
5068,SA,KENSINGTON GARDENS,Adelaide
5068,SA,KENSINGTON PARK,Adelaide
5068,SA,LEABROOK,Adelaide
5068,SA,MARRYATVILLE,Adelaide
5068,SA,ST MORRIS,Adelaide
5068,SA,TRINITY GARDENS,Adelaide
5069,SA,COLLEGE PARK,Adelaide
5069,SA,EVANDALE,Adelaide
5069,SA,HACKNEY,Adelaide
5069,SA,MAYLANDS,Adelaide
5069,SA,STEPNEY,Adelaide
5069,SA,ST PETERS,Adelaide
5070,SA,FELIXSTOW,Adelaide
5070,SA,FIRLE,Adelaide
5070,SA,GLYNDE,Adelaide
5070,SA,JOSLIN,Adelaide
5070,SA,MARDEN,Adelaide
5070,SA,PAYNEHAM,Adelaide
5070,SA,PAYNEHAM SOUTH,Adelaide
5070,SA,ROYSTON PARK,Adelaide
5072,SA,AULDANA,Adelaide
5072,SA,MAGILL,Adelaide
5072,SA,ROSSLYN PARK,Adelaide
5072,SA,SKYE,Adelaide
5072,SA,TERINGIE,Adelaide Hills
5072,SA,WOODFORDE,Adelaide Hills
5073,SA,HECTORVILLE,Adelaide
5073,SA,ROSTREVOR,Adelaide
5073,SA,TRANMERE,Adelaide
5074,SA,CAMPBELLTOWN,Adelaide
5074,SA,NEWTON,Adelaide
5075,SA,DERNANCOURT,Adelaide
5075,SA,PARADISE,Adelaide
5076,SA,ATHELSTONE,Adelaide
5076,SA,CASTAMBUL,Adelaide Hills
5081,SA,COLLINSWOOD,Adelaide
5081,SA,GILBERTON,Adelaide
5081,SA,MEDINDIE,Adelaide
5081,SA,MEDINDIE GARDENS,Adelaide
5081,SA,VALE PARK,Adelaide
5081,SA,WALKERVILLE,Adelaide
5082,SA,FITZROY,Adelaide
5082,SA,OVINGHAM,Adelaide
5082,SA,PROSPECT,Adelaide
5082,SA,THORNGATE,Adelaide
5083,SA,BROADVIEW,Adelaide
5083,SA,NAILSWORTH,Adelaide
5083,SA,SEFTON PARK,Adelaide
5084,SA,BLAIR ATHOL,Adelaide
5084,SA,KILBURN,Adelaide
5085,SA,CLEARVIEW,Adelaide
5085,SA,ENFIELD,Adelaide
5085,SA,LIGHTSVIEW,Adelaide
5085,SA,NORTHFIELD,Adelaide
5085,SA,NORTHGATE,Adelaide
5086,SA,GILLES PLAINS,Adelaide
5086,SA,GREENACRES,Adelaide
5086,SA,HAMPSTEAD GARDENS,Adelaide
5086,SA,HILLCREST,Adelaide
5086,SA,MANNINGHAM,Adelaide
5086,SA,OAKDEN,Adelaide
5087,SA,KLEMZIG,Adelaide
5087,SA,WINDSOR GARDENS,Adelaide
5088,SA,HOLDEN HILL,Adelaide
5089,SA,HIGHBURY,Adelaide
5090,SA,HOPE VALLEY,Adelaide
5091,SA,BANKSIA PARK,Adelaide
5091,SA,TEA TREE GULLY,Adelaide
5091,SA,VISTA,Adelaide
5092,SA,MODBURY,Adelaide
5092,SA,MODBURY HEIGHTS,Adelaide
5092,SA,MODBURY NORTH,Adelaide
5093,SA,PARA VISTA,Adelaide
5093,SA,VALLEY VIEW,Adelaide
5094,SA,CAVAN,Adelaide
5094,SA,DRY CREEK,Adelaide
5094,SA,GEPPS CROSS,Adelaide
5095,SA,MAWSON LAKES,Adelaide
5095,SA,POORAKA,Adelaide
5096,SA,GULFVIEW HEIGHTS,Adelaide
5096,SA,PARA HILLS,Adelaide
5096,SA,PARA HILLS WEST,Adelaide
5097,SA,REDWOOD PARK,Adelaide
5097,SA,RIDGEHAVEN,Adelaide
5097,SA,ST AGNES,Adelaide
5098,SA,INGLE FARM,Adelaide
5098,SA,WALKLEY HEIGHTS,Adelaide
5106,SA,PARAFIELD,Adelaide
5106,SA,SALISBURY SOUTH,Adelaide
5107,SA,GREEN FIELDS,Adelaide
5107,SA,PARAFIELD GARDENS,Adelaide
5108,SA,PARALOWIE,Adelaide
5108,SA,SALISBURY,Adelaide
5108,SA,SALISBURY DOWNS,Adelaide
5108,SA,SALISBURY NORTH,Adelaide
5109,SA,BRAHMA LODGE,Adelaide
5109,SA,SALISBURY EAST,Adelaide
5109,SA,SALISBURY HEIGHTS,Adelaide
5109,SA,SALISBURY PARK,Adelaide
5109,SA,SALISBURY PLAIN,Adelaide
5110,SA,BOLIVAR,Adelaide
5110,SA,BURTON,Adelaide
5110,SA,DIREK,Adelaide
5110,SA,GLOBE DERBY PARK,Adelaide
5110,SA,ST KILDA,Adelaide
5110,SA,WATERLOO CORNER,Adelaide
5111,SA,EDINBURGH,Adelaide
5112,SA,ELIZABETH,Adelaide
5112,SA,ELIZABETH EAST,Adelaide
5112,SA,ELIZABETH GROVE,Adelaide
5112,SA,ELIZABETH SOUTH,Adelaide
5112,SA,ELIZABETH VALE,Adelaide
5112,SA,HILLBANK,Adelaide
5113,SA,DAVOREN PARK,Adelaide
5113,SA,EDINBURGH NORTH,Adelaide
5113,SA,ELIZABETH DOWNS,Adelaide
5113,SA,ELIZABETH NORTH,Adelaide
5113,SA,ELIZABETH PARK,Adelaide
5114,SA,ANDREWS FARM,Adelaide
5114,SA,BLAKEVIEW,Adelaide
5114,SA,CRAIGMORE,Adelaide
5114,SA,GOULD CREEK,Adelaide
5114,SA,HUMBUG SCRUB,Adelaide
5114,SA,ONE TREE HILL,Adelaide
5114,SA,SAMPSON FLAT,Adelaide
5114,SA,SMITHFIELD,Adelaide
5114,SA,SMITHFIELD PLAINS,Adelaide
5114,SA,ULEYBURY,Adelaide
5114,SA,YATTALUNGA,Adelaide
5115,SA,KUDLA,Adelaide
5115,SA,MUNNO PARA,Adelaide
5115,SA,MUNNO PARA DOWNS,Adelaide
5115,SA,MUNNO PARA WEST,Adelaide
5116,SA,EVANSTON,Adelaide
5116,SA,EVANSTON GARDENS,Adelaide
5116,SA,EVANSTON PARK,Adelaide
5116,SA,EVANSTON SOUTH,Adelaide
5116,SA,HILLIER,Adelaide
5117,SA,ANGLE VALE,Adelaide
5118,SA,BIBARINGA,Adelaide
5118,SA,BUCHFELDE,Barossa
5118,SA,CONCORDIA,Adelaide
5118,SA,GAWLER,Adelaide
5118,SA,GAWLER BELT,Barossa
5118,SA,GAWLER EAST,Adelaide
5118,SA,GAWLER RIVER,Barossa
5118,SA,GAWLER SOUTH,Adelaide
5118,SA,GAWLER WEST,Adelaide
5118,SA,HEWETT,Barossa
5118,SA,KALBEEBA,Adelaide
5118,SA,KANGAROO FLAT,Barossa
5118,SA,KINGSFORD,Barossa
5118,SA,REID,Barossa
5118,SA,WARD BELT,Barossa
5118,SA,WILLASTON,Barossa
5120,SA,BUCKLAND PARK,Adelaide
5120,SA,RIVERLEA PARK,Adelaide
5120,SA,VIRGINIA,Adelaide
5121,SA,EYRE,Adelaide
5121,SA,MACDONALD PARK,Adelaide
5121,SA,PENFIELD,Adelaide
5121,SA,PENFIELD GARDENS,Adelaide
5125,SA,GOLDEN GROVE,Adelaide
5125,SA,GREENWITH,Adelaide
5126,SA,FAIRVIEW PARK,Adelaide
5126,SA,SURREY DOWNS,Adelaide
5126,SA,YATALA VALE,Adelaide
5127,SA,WYNN VALE,Adelaide
5131,SA,HOUGHTON,Adelaide Hills
5131,SA,LOWER HERMITAGE,Adelaide Hills
5131,SA,UPPER HERMITAGE,Adelaide Hills
5132,SA,PARACOMBE,Adelaide Hills
5133,SA,INGLEWOOD,Adelaide Hills
5134,SA,CHERRYVILLE,Adelaide Hills
5134,SA,MONTACUTE,Adelaide Hills
5136,SA,NORTON SUMMIT,Adelaide Hills
5137,SA,ASHTON,Adelaide Hills
5137,SA,MARBLE HILL,Adelaide Hills
5138,SA,BASKET RANGE,Adelaide Hills
5139,SA,FOREST RANGE,Adelaide Hills
5140,SA,GREENHILL,Adelaide Hills
5141,SA,HORSNELL GULLY,Adelaide Hills
5141,SA,SUMMERTOWN,Adelaide Hills
5142,SA,URAIDLA,Adelaide Hills
5144,SA,CAREY GULLY,Adelaide Hills
5150,SA,LEAWOOD GARDENS,Adelaide
5151,SA,PICCADILLY,Adelaide Hills
5152,SA,CLELAND,Adelaide Hills
5152,SA,CRAFERS,Adelaide Hills
5152,SA,CRAFERS WEST,Adelaide Hills
5152,SA,STIRLING,Adelaide Hills
5153,SA,BIGGS FLAT,Adelaide Hills
5153,SA,BRADBURY,Adelaide Hills
5153,SA,CHAPEL HILL,Adelaide Hills
5153,SA,ECHUNGA,Adelaide Hills
5153,SA,FLAXLEY,Adelaide Hills
5153,SA,GREEN HILLS RANGE,Adelaide Hills
5153,SA,HEATHFIELD,Adelaide Hills
5153,SA,IRONBANK,Adelaide Hills
5153,SA,JUPITER CREEK,Adelaide Hills
5153,SA,LONGWOOD,Adelaide Hills
5153,SA,MACCLESFIELD,Adelaide Hills
5153,SA,MYLOR,Adelaide Hills
5153,SA,SCOTT CREEK,Adelaide Hills
5154,SA,ALDGATE,Adelaide Hills
5155,SA,BRIDGEWATER,Adelaide Hills
5155,SA,MOUNT GEORGE,Adelaide Hills
5156,SA,UPPER STURT,Adelaide Hills
5157,SA,ASHBOURNE,Fleurieu Peninsula
5157,SA,BULL CREEK,Adelaide Hills
5157,SA,CHERRY GARDENS,Fleurieu Peninsula
5157,SA,CLARENDON,Fleurieu Peninsula
5157,SA,COROMANDEL EAST,Fleurieu Peninsula
5157,SA,DORSET VALE,Adelaide Hills
5157,SA,KANGARILLA,Fleurieu Peninsula
5157,SA,MCHARG CREEK,Fleurieu Peninsula
5158,SA,HALLETT COVE,Adelaide
5158,SA,O'HALLORAN HILL,Adelaide
5158,SA,SHEIDOW PARK,Adelaide
5158,SA,TROTT PARK,Adelaide
5159,SA,ABERFOYLE PARK,Adelaide
5159,SA,CHANDLERS HILL,Adelaide
5159,SA,FLAGSTAFF HILL,Adelaide
5159,SA,HAPPY VALLEY,Adelaide
5160,SA,LONSDALE,Adelaide
5161,SA,OLD REYNELLA,Adelaide
5161,SA,REYNELLA,Adelaide
5161,SA,REYNELLA EAST,Adelaide
5162,SA,MORPHETT VALE,Adelaide
5162,SA,WOODCROFT,Adelaide
5163,SA,HACKHAM,Adelaide
5163,SA,HACKHAM WEST,Adelaide
5163,SA,HUNTFIELD HEIGHTS,Adelaide
5163,SA,ONKAPARINGA HILLS,Adelaide
5164,SA,CHRISTIE DOWNS,Adelaide
5165,SA,CHRISTIES BEACH,Adelaide
5166,SA,O'SULLIVAN BEACH,Adelaide
5167,SA,PORT NOARLUNGA,Adelaide
5167,SA,PORT NOARLUNGA SOUTH,Fleurieu Peninsula
5168,SA,NOARLUNGA CENTRE,Adelaide
5168,SA,NOARLUNGA DOWNS,Adelaide
5168,SA,OLD NOARLUNGA,Fleurieu Peninsula
5169,SA,MOANA,Fleurieu Peninsula
5169,SA,SEAFORD,Fleurieu Peninsula
5169,SA,SEAFORD HEIGHTS,Fleurieu Peninsula
5169,SA,SEAFORD MEADOWS,Fleurieu Peninsula
5169,SA,SEAFORD RISE,Fleurieu Peninsula
5170,SA,MASLIN BEACH,Fleurieu Peninsula
5171,SA,BLEWITT SPRINGS,Fleurieu Peninsula
5171,SA,MCLAREN FLAT,Fleurieu Peninsula
5171,SA,MCLAREN VALE,Fleurieu Peninsula
5171,SA,TATACHILLA,Fleurieu Peninsula
5172,SA,DINGABLEDINGA,Fleurieu Peninsula
